var_a,var_b
agg_science_technology_self_efficacy|CIE,agg_corruption_perception|COR
agg_science_technology_self_efficacy|CIE,agg_tolerance_of_corrupt_behavior|COR
agg_science_technology_self_efficacy|CIE,agg_civic_enforcement_norms|COR
agg_science_technology_self_efficacy|CIE,agg_reporting_behavior_and_barriers|COR
agg_science_technology_interest_engagement|CIE,agg_corruption_perception|COR
agg_science_technology_interest_engagement|CIE,agg_tolerance_of_corrupt_behavior|COR
agg_science_technology_interest_engagement|CIE,agg_civic_enforcement_norms|COR
agg_science_technology_interest_engagement|CIE,agg_reporting_behavior_and_barriers|COR
agg_institutional_trust_in_science|CIE,agg_corruption_perception|COR
agg_institutional_trust_in_science|CIE,agg_tolerance_of_corrupt_behavior|COR
agg_institutional_trust_in_science|CIE,agg_civic_enforcement_norms|COR
agg_institutional_trust_in_science|CIE,agg_reporting_behavior_and_barriers|COR
agg_perceived_societal_value_of_science_technology|CIE,agg_corruption_perception|COR
agg_perceived_societal_value_of_science_technology|CIE,agg_tolerance_of_corrupt_behavior|COR
agg_perceived_societal_value_of_science_technology|CIE,agg_civic_enforcement_norms|COR
agg_perceived_societal_value_of_science_technology|CIE,agg_reporting_behavior_and_barriers|COR
agg_household_science_cultural_capital|CIE,agg_corruption_perception|COR
agg_household_science_cultural_capital|CIE,agg_tolerance_of_corrupt_behavior|COR
agg_household_science_cultural_capital|CIE,agg_civic_enforcement_norms|COR
agg_household_science_cultural_capital|CIE,agg_reporting_behavior_and_barriers|COR
agg_science_technology_self_efficacy|CIE,agg_democratic_legitimacy_support|CUL
agg_science_technology_self_efficacy|CIE,agg_institutional_trust_and_electoral_confidence|CUL
agg_science_technology_self_efficacy|CIE,agg_political_efficacy_and_engagement|CUL
agg_science_technology_self_efficacy|CIE,agg_authoritarian_predisposition|CUL
agg_science_technology_self_efficacy|CIE,agg_perceived_political_influence_of_actors|CUL
agg_science_technology_interest_engagement|CIE,agg_democratic_legitimacy_support|CUL
agg_science_technology_interest_engagement|CIE,agg_institutional_trust_and_electoral_confidence|CUL
agg_science_technology_interest_engagement|CIE,agg_political_efficacy_and_engagement|CUL
